,title,body
0,"
				JDC 소셜벤처 지원사업 '낭그늘2기' 지원대상 모집 공고
			","


			   JDC 소셜벤처 지원 사업 '낭그늘 2기' 지원대상 모집 안내

낭그늘은 제주국제자유도시개발센터(JDC)가 제주의 지역사회문제로부터 비즈니스 가치를 발굴하는 혁신적인 솔루션으로 제주도내 소셜벤처 생태계 활성화 및 일자리 창출에 기여하고 동시에 지역을 넘어 국내/외 임팩트를 창출하는 제주형 소셜벤처를 위한 차별화된 프로그램입니다

JDC 소셜벤처 지원 사업의  '낭그늘 2기 지원대상을 다음과 같이 모집합니다.
 
□ 모집개요
 ㅇ (지원대상) 제주지역의 사회문제를 혁신적인 비즈니스로 해결하는 소셜벤처
   - 서비스 및 상품 검증 단계로 스케일업 혹은 제주도 지역 확장을 필요로 하는 팀
   - 법인 사업자의 경우 주식회사 형태의 소셜벤처만 지원 가능하며, 개인사업자의 경우 2020년 내 법인설립 필수
   - 액셀러레이팅 팀 선정 시 정해진 기간동안 낭그늘 코워킹 스페이스 입주를 완료해야하고 지원 종료 후
      2년 이상 제주도 내에서 유의미한 비즈니스 활동계획이 명확해야함
 
    * 소셜벤처란 사업의 주목적이 사회문제 해결인 스타트업(법인설립연도 제한 없음)
    * 개인사업자 및 법인사업자(주식회사)가 아닌 경우 지원 불가. 컨소시엄 지원 불가
    * 구체적인 사항은 선정 이후 운영기관이 제시하는 단계별 약정서에 따름. 

 ㅇ (참여혜택)
   < 공통 >
   - 제주첨단과학기술단지 내 소셜벤처 ‘코워킹 스페이스 낭그늘’ 공간 무료 사용 지원
   - 낭그늘 커뮤니티 멤버 자격 부여
   - 도내외 언론 및 미디어, SNS 등 홍보 지원
 
  < 인큐베이팅 12팀 >
   - 아이디어 검증 프로젝트 지원비 500만원 제공 (인건비 50%까지 사용 가능)
   - 낭그늘 소셜벤처 육성 코치진 정기 코칭, 자원연계 등 맞춤형 지원 제공

  < 액셀러레이팅 6팀 >
   - 비즈니스 검증 프로젝트 지원비 평균 5,000만원 제공 (단계별 평가에 따라 지원규모 결정, 인건비 50%까지 사용 가능)
   - 소셜벤처 간 협업 프로젝트 최대 4,000만원 별도 지원 가능
   - 액셀러레이팅 기간 동안 ‘코워킹 스페이스 낭그늘’ 내 개별 오피스 지원
   - 낭그늘 소셜벤처 육성 코치진 정기/상시 코칭, 자원연계 등 맞춤형 지원 제공
   - 비즈니스 성장모듈(서비스디자인, 린브랜딩, 지속가능성, 임팩트투자 등) 맞춤형 제공 (단계별 평가에 따라 지원규모 결정)
   - 임팩트투자 검토

 ㅇ (신청방법) www.nangjeju.co.kr 접속  *신청서 작성
 ㅇ (신청기간) 2019년 12월 11일(수) 17시 까지 
 ㅇ (지원절차) 서류접수->서류심사->대면심사->인큐베이팅(2.5개월)->액셀러레이팅(8개월)



 
		"
1,"
				JDC 사회적경제조직 지원사업 위탁운영기관 공개 모집
			","


			                                  JDC 제3차 사회적경제조직 지원사업 위탁운영기관 모집 공고
 
제주국제자유도시개발센터는 제주도 내 사회적경제조직 지원대상 발굴하고 혁신조직 성장 지원을 통한 지역 생태계 활성화
및 사회적 가치 실현을 위하여 사회적경제조직 지원사업을 위탁하고자 다음과 같이 공고합니다.
 
                                                                                                                                                                       2019년 11월 20일
                                                                                                                                              제주국제자유도시개발센터 이사장
 
1. 사업개요
ㅇ (사 업 명) JDC 제3차 사회적경제조직 지원 사업
ㅇ (사업내용)
   - 제주지역 일자리 및 사회서비스 창출을 사회적경제조직의 혁신성장 촉진을 위해 금융(투자),
     컨설팅, 네트워킹 지원 등 경영애로 해소지원
ㅇ (사업기간) 협약일로부터 40개월
ㅇ (지원대상) 사회적경제조직
  - 제주도 내에 주 사무소를 둔 (예비)사회적기업, 협동조합, 사회적협동조합, 마을기업, 자활기업 및 소셜벤처 등
ㅇ (사업금액) 금1,013,600,000원(금일십억일천삼백육십만원)
  - 사회적경제조직 금융지원비 750,000,000원 (※ 최대 10개 기업 선정)
    ☞ 사회성과 인센티브 5천만원 포함(중간평가 2.5천만원, 성과공유 2.5천만원)
  - 본 사업 수행을 위해 수반되는 운영비 등 263,600,000원 (부가세포함)
    ☞ 전문가 컨설팅(기업 당 연2회), 정기 간담회(연 1회), 공공기관 네트워킹(연 2회), 중간평가, 성과공유,
          홍보비, 인건비, 경비 등을 포함

    ※ 세부내용은 ‘제안요청서’ 참조
 
2. 신청자격
ㅇ 사회적경제조직에 대한 금융지원 및 경영 컨설팅 등 위탁업무에 적합한 전문 인력과 경험을 갖춘 법인
  - 사회적경제조직 지원대상의 사업계획서 또는 제안서에 대한 수익성 분석이 가능한 기관
  - 사회적금융에 관한 사무 수행에 필요한 인력 및 경험을 갖춘 기관
  - 사회적경제조직에 대한 신용평가, 재무분석, 보증설정 등 금융에 관한 전문성, 노하우 갖춘 역량 있는 기관
 
3. 신청서 제출
ㅇ 접수기간 : 2019년 11월 20일(수) ~ 12월 2일(월) 18:00 마감
ㅇ 접수방법 : 우편 및 온라인 접수
ㅇ 접 수 처 : 제주특별자치도 제주시 첨단로 213-4 제주첨단과학기술단지 엘리트빌딩 3층 홍보협력실
ㅇ 제출서류 : 제안요청서 참조
 
4. 수탁기관 선정
ㅇ 선정방법 : 서류 및 면접평가(사업계획 제안 설명 및 질의응답)
ㅇ 평가일정 및 장소 : 2019.12.06.(금), 14시 예정 / JDC 본사 중회의실 2
ㅇ 결과발표 : 선정기관 개별 통보
 
5. 기타 유의사항
ㅇ 공개모집과 관련하여 제출된 서류는 일체 반환하지 않음
ㅇ 공개모집에 응모하고자 하는 신청자는 JDC 홈페이지(www.jdcenter.com) 모집공고, 제안요청서 등 관련내용을 완전히 숙지하고
     공개모집에 임하여야 하며, 이를 숙지하지 못하여 발생한 사항에 대한 책임은 신청자에게 있음
ㅇ 제출된 서류의 내용이 사실과 다를 경우 수탁기관 선정을 무효로 할 수 있으며, 향후 공모참가 제한 등 제약을 받을 수 있음
ㅇ 문의안내
  - 담당자 : 제주국제자유도시개발센터 홍보협력실 홍단비 과장
  - 연락처 : ☎ 064)797-5764 이메일 : sweetrain@jdcenter.com
 
		"
2,"
				JDC 글로벌 인재 맞춤형 일자리 지원사업 'JDC 글로벌 챌린저 3기' 참여자 모집
			","


			           JDC 글로벌 인재 맞춤형 일자리 지원 사업 'JDC 글로벌 챌린저 3기' 참여자 모집 안내

제주국제자유도시개발센터는 제주출신 취업 준비생들에게 해외취업의 기회를 제공하여 글로벌 핵심인재로 양성하고자
JDC 글로벌 인재 맞춤형 일자리 지원 사업의  'JDC 글로벌 챌린저 3기' 참여자를 다음과 같이 모집합니다.
 
□ 모집개요
 ㅇ (지원내역) 해외취업 매칭,  어학 및 직무교육, 항공권(편도), 보험, 해외체재 지원금(80만원) 등
                      ※ 미국 취업 희망자는 일부 비자비용 발생
 ㅇ (참가자격) 해외취업을 희망하는 만 34세 미만 제주출신 혹은 제주지역 학교 졸업자  ※붙임 참조
                       ※ 본인 또는 부모님이 제주출신이면 누구나 지원 가능
 ㅇ (신청방법) www.globaljdc.com 접속  *신청서 작성
 ㅇ (신청기간) 2019년 12월 5일(목) 까지   * SMS 개별 문자 통지 예정
 ㅇ (지원절차) 서류전형->1차면접->2차면접->연수교육->출국
 ㅇ (집체교육) 2019.12.16.-12.20.(4박5일)   *장소:제주부영청소년 수련원
 ㅇ (문의안내) JDC 해외취업 사업부 02-6263-2283(주중 09:00-18:00)
		"
3,"
				불용물품(공용차량) 매각(38고 5868)
			","


			공고문 및 첨부서류를 참조하여 주시기 바랍니다.
		"
4,"
				JDC 이음일자리 플러스 '사회적경제 전문가 과정' 참여자 추가 모집
			","


			JDC 이음일자리 플러스 '사회적경제 전문가 과정' 참여자 추가 모집합니다.

자세한 사항은 첨부내용을 확인 부탁드립니다.
		"
5,"
				「JDC 제주관광 플랫폼 사업」관광콘텐츠 공모
			","


			「JDC 제주관광 플랫폼 사업」관광콘텐츠 공모
 
제주국제자유도시개발센터는 도내 마을 고유자원(역사, 문화, 생태 등)을 활용한 관광 콘텐츠 발굴을 통해 제주관광산업의 질적 성장을 도모하고,
관광일자리 창출 및 지역경제 활성화에 이바지 하고자「JDC 제주관광 플랫폼 사업」관광 콘텐츠를 공모하오니 많은 관심과 참여 바랍니다.
 
2019년 11월 13일
제주국제자유도시개발센터 이사장
 

1. 응모 대상사업
 
ㅇ 본 지원을 통해 관광객 유치가 가능하고, 지원 종료 후에도 지속적인 수익창출이 가능한 사업이면서,
 
- 마을이 보유하고 있는 고유의 자원(역사, 문화, 생태 등)을 활용하여 지역관광 산업의 질적 성장에 기여할 수 있는 사업
 
- 단, 현실가능성이 없는 사업(인허가가 어려움 사업 포함), 관광 활성화(관광객 이용분야)와 직접 관련이 없는 사업이라고 판단되는 사업은 제외
 
2. 응모자격
 
ㅇ 관광객을 대상으로 관광 관련 서비스를 제공하고 있거나 제공 예정인 도내 마을자생단체(고유번호증 보유) 또는 마을공동체 기반 사회적 경제분야 법인
    ※ 필수조건 및 제외대상 등 세부사항은 공모요강 참고
 
3. 지원규모
 
ㅇ 도내 3개 단체(법인) 이내
 
- 단체(법인)별 사업화 지원비 차등지원(40~70백만원, 최대 70백만원)
 
ㅇ 평가위원회 평가결과에 따라 지원 단체(법인)수 및 지원규모 확정
 
※ 평가결과에 따라 지원 단체(법인)이 없을 수 있음
 
ㅇ 지원금의 10% 이상 자부담 사업비를 반드시 확보하여야 함
 
ㅇ 지원항목, 지원방식, 지원금 지급 및 지원조건 등 세부사항은 공모요강 참고

4. 공고 및 접수기간
 
ㅇ 공고기간 : 2019.11.13.(수) ~ 12.6(금)
 
ㅇ 접수기간 : 2019.12.2.(월) ~ 12.6(금) 18:00 마감
 
5. 신청방법 및 제출서류
 
ㅇ 신청방법 : 우편 및 방문접수 * 우편접수 시 서류 제출 후 전화확인 필수
 
- 신청은 단체(법인)당 1개 과제만 가능
 
ㅇ 접 수 처 : 제주특별자치도 제주시 첨단로 213-4 제주첨단과학기술단지
                    엘리트빌딩 504호 관광사업처(☏ 064-797-5782)
 
ㅇ 제출서류 : 공모요강 참조
 
6. 선정방법 및 평가

ㅇ 선정방법 : 제출서류 및 발표평가(PT)
 
- 객관적이고 공정한 평가를 위하여 전문가로 구성된 평가위원회 운영
 
- 사업내용, 지속가능성 및 기대효과 등을 종합적으로 고려하여 평가위원회에서 평가 후 대상 선정
 
ㅇ 평가일정 및 장소 : 추후 개별통보
 
ㅇ 결과발표 : 선정 단체(법인) 개별 통보
 
7. 유의사항
 
ㅇ 공모와 관련하여 제출된 서류는 일체 반환하지 않음
 
ㅇ 공모에 신청하고자 하는 단체(법인)는 JDC 홈페이지를 통해 사업공모요강, 접수요령 등 관련내용을 숙지하고 공모에 임하여야 하며, 이를 숙지하지 못하여
    발생한 불이익 책임은 신청 단체(법인)에게 있음
 
ㅇ 본 사업의 신청과 관련된 일체의 소요비용은 신청 단체(법인) 부담
 
ㅇ 사업의 신청, 사업수행에 있어 관련 법령 및 규정, 약정서 등의 미숙지로 인한 불이익 책임은 신청 단체(법인)에게 있음
 
ㅇ 필요시 신청내용에 대한 확인자료 요청 또는 현지실사를 할 수 있으며, 신청 단체(법인)는 이에 응하여야 함
 
ㅇ 제출서류 상 허위사실이 발견되는 경우 평가대상에서 제외되며, 협약체결 이후 협약서의 내용이 허위로 작성된 사실이 발견되거나 협약서상 의무를 불이행할 경우
    지원결정 취소 및 지원금 환수, 향후 JDC에서 추진하는 공모참가가 제한될 수 있음
 
 
		"
6,"
				한예종과 함께하는 JDC 문화가득 프로그램 참여 요청
			","


			문화공간 <낭>을 거점으로 한국예술종합학교의 인프라를 활용해 도민에게 전문적이고 대중적이면서 특화된 문화예술교육 기회 제공을 위해 「한예종과 함께하는 JDC 문화가득 사업」을 추진합니다.
분야별 문화예술 교육 프로그램 참여자를 아래와 같이 모집하오니 많은 참여 바랍니다.
 
☐ 개 요
 
➀ 지역상생 프로젝트
< 영 상 편 >
ㅇ 개 강 일: 2019.11.30.(토)
ㅇ 모집기간: 2019.11.13.(수) ~ 24.(일)
ㅇ 지원대상: 기본적인 영상 제작 능력을 보유하고 블로그 활동을 사업화 하거나, 블로그 활동을 통해 기존의 사업을 확장하고자 하는 분
ㅇ 강의내용: 콘텐츠 고도화 지원을 위한 영상시나리오 작성 방법, 사진촬영 및 조명, 맞춤형 특강 및 멘토링
ㅇ 모집인원: 20명
ㅇ 교육시간: 매주 토요일 오후 4시 ~ 7시
ㅇ 준 비 물: 교육과정에 필요한 스마트폰 본인 지참
 
 
➁ 문화가득 프로젝트
< 연극놀이편>
ㅇ 개 강 일: 2019.11.30.(토)
ㅇ 모집기간: 2019.11.13.(수) ~ 24.(일)
ㅇ 지원대상: 5~7세 아동과 부모
ㅇ 모집인원: 유아 5~7세 15팀(30명) /2개 반(오전·오후) ※1팀 : 아동 1명 + 부모 1명
ㅇ 교육시간: 매주 토요일 오전 10시 ~ 12시 / 오후 4시 ~ 7시
 
< 미술레시피>
ㅇ 개 강 일: 2019.12.01.(일)
ㅇ 모집기간: 2019.11.13.(수) ~ 24.(일)
ㅇ 지원대상: 초등학교 1~3학년
ㅇ 모집인원: 20명 / 2개 반(오전·오후)
ㅇ 교육시간: 매주 일요일 오전 10시 ~ 12시 / 오후 4시 ~ 7시
 
 
※ 지원 방법은 https://cafe.naver.com/kartsedu 문화가득 모집공고의 지원서식을 다운받아 내용을 작성하여 ‘모집공고’ 게시판에 ‘글쓰기’(비공개)로 업로드
 
		"
7,"
				2019 디지털트윈 포럼 개최 안내
			","


"
8,"
				JDC 마을 공동체 사업 대국민 영상 공모전 개최
			","


			JDC가 추진하고 있는 마을 공동체 사업은 지역 소득증대를 위해 ‘마을기업’의 창립과 육성을 지원하는 사업입니다.
수혜 마을 공동체가 판매단계에 들어서며 온라인 마케팅 수요가 높아지고 있으나 물질적·기술적 어려움이 있는 상황으로
여러분의 반짝이는 아이디어가 담긴 영상을 활용하여 마을 단위의 경제적 자립을 지원하고자 합니다.
 
            

☐ 공모전 개요
 ㅇ 공모전명 : <JDC 마을 공동체 사업 영상 공모전>
 ㅇ 공모기간 : 2019년 11월 8일 ~ 11월 30일 17시까지 *발표 12월 중
 ㅇ 공모주제 : JDC 마을공동체 지원 사업 대상‘마을기업’홍보
 ㅇ 시상내역
  - 대 상 (1명) : JDC 이사장 표창 + 100만원 상금
  - 최우수상 (1명) : JDC 이사장 표창 + 50만원 상금
  - 우 수 상 (2명) : JDC 이사장 표창 + 20만원 상금
  - 참 가 상 (10명) : 기프티콘 1만원

☐ 응모개요
 ㅇ 필수사항 : 순수창작영상이며, 표절 또는 타 공모전 출품작 제외
 ㅇ 응모방법



·응모방법
			1. 제작영상을 개인 SNS에 게재 후 필수 해시태그 #JDC #JDC사회공헌 #마을기업명 기재
			2. 구글폼 지원서 접수 (지원서 내 해시태그URL 및 출품영상 URL 필수기재)
			  - 1차 심사를 위한 영상은 Youtube 등 온라인 채널에 게재한 링크를 지원서에 기재하여 제출
			  - 1차 심사 통과자는 영상의 원본을 이메일로 제출(추후 공지)



ㅇ 제작규격




·필수사항 : 순수창작영상이어야 하며, 표절, 타 공모전 제출 이력이 있는 작품은 응모 불가
			·영상형식 : 재생시간 및 형식 자유
			  예) CF, 브이로그, 웹드라마, 홍보영상 등 어떤 형식이든 제작 가능
			·최소규격 : 1920*1080(pixel) / mp4, avi (원본 제출 시)



 
마을기업 보러가기 : http://naver.me/FSNDF8KJ
공모전 지원하러 가기 : http://url.kr/kaehwh

 
		"
9,"
				제주첨단과학기술단지 입주기업 고용 등 현황 설문조사 협조 요청
			","


"
