,title,date,place,content,target
0,「JDC 제주관광 플랫폼 사업」관광콘텐츠 공모,공모기간 : 2019년 11월 8일 ~ 11월 30일 17시까지 *발표 12월 중,NONE,NONE,NONE
1,2019 디지털트윈 포럼 개최 안내,NONE,NONE,NONE,NONE
2,JDC 마을 공동체 사업 대국민 영상 공모전 개최,일 시 : 2019년 11월 6일 ~ 12월 11일(매주 수요일) 19:00 ~ 20:30  * 간단한 다과 제공,장 소 : 제주상공회의소 5층 국제회의실,NONE,참여대상 : 희망하는 도민 누구나
3,제주첨단과학기술단지 입주기업 고용 등 현황 설문조사 협조 요청,NONE,NONE,내용은 붙임의 파일을 확인하여 주시기 바랍니다.,NONE
4,JDC x AI 인공지능 아카데미 참가자 모집,일시) 2019년 10월 22일,NONE,NONE,NONE
5,2019 JDC 이음일자리 플러스 참여자 모집,NONE,NONE,내용은 붙임의 파일을 확인하여 주시기 바랍니다.,NONE
6,[JDC 드론 시범사업 사업자 공모] 심사결과 알림,NONE,NONE,NONE,NONE
7,2019 JDC 마을공동체사업 공모,접수기간,NONE,내용,지원 대상
8,"2019 제주 ICT 페스티벌 개최 안내(11.09.(토), 제주대학교 체육관)",사업기간) 협약일로부터 2020년 12월 31일,"장소 : 2019.11.06.(수), 14시 예정 / JDC 본사 중회의실 2",내용은 ‘제안요청서’ 참조,신청자격
9,2019 JDC 복지시설 특장차량 지원 사업 공모,사업기간) 협약일로부터 2022년 12월 31일,장소 : 제주혁신성장센터 A동 1층 낭그늘 세미나실,사업개요,지원대상) 제주출신 청년 80명 이내 ※ 취약계층 20% 포함
10,JDC 글로벌 인재 맞춤형 일자리 지원 사업 위탁운영기관 모집 공고,사업기간 : 협약체결일로부터 120일,NONE,내용), 신청자격
11,JDC 소셜벤처 지원사업 ‘낭그늘’위탁운영기관 모집 재공고,일 시 : 2019. 10. 12(토) 11:00 ~ 18:00,장 소 : 영어교육도시 배움의 길,사업개요,신청자격 ※ 제안요청서 참조
12,JDC 드론 시범사업 사업자 공모(재공모) 공고,축제 기간 : 2019. 10. 4(금) ~ 10. 6(일) 3일간,축제 장소 : 항공우주박물관 (J지구),사업내용),지원대상) 제주지역 사회 문제해결이 사업목적인 소셜벤처(예비 창업자 포함)
13,"2019 평화의 섬 제주, JDC Book Fair 개최 안내(10.12(토)), 영어교육도시 배움의 길)",NONE,장소 : 항공우주박물관 (J지구),사업목적인 소셜벤처(예비 창업자 포함), 신청자격 ※ 제안요청서 참조
